firstname;lastname;phone;ou;street;city;city_code;postalcode;kurs;status_id_fk
Rotraud;Klemm;01675 49961;IT14B;Gino-Hoffmann-Straße 81;Oranienburg;OR;30684;IT14B;3
Zenon;Bähr;+49(0)4650 64899;IT15B;Fredi-Hahn-Straße 5076;Burg;BU;93324;IT15B;2
Aleksander;Austermühle;08750 81694;IT15A;Kühnertstr. 5-9;Mellrichstadt;ME;67193;IT15A;2
Fredo;Bonbach;+49(0)9068 766055;BuHa13A;Jolanda-Scheel-Ring 9/9;Schrobenhausen;SC;08583;BuHa13A;3
Adina;Davids;(06960) 783080;IT14A;Schülergasse 32/73;Lüneburg;LÜ;83987;IT14A;3
Karl-Heinz;Freudenberger;(07268) 555361;IT14A;Finkestr. 612;Mellrichstadt;ME;92688;IT14A;1
Cengiz;Mosemann;06552066535;BuHa13B;Pohlplatz 4-6;Wismar;WI;52898;BuHa13B;3
Andrei;Fechner;+49(0) 998542836;IT14A;Döhnweg 88;Uffenheim;UF;73921;IT14A;2
Hans-H.;Briemer;08674 45693;IT15B;Scholtzgasse 97-44;Eisenhüttenstadt;EI;37556;IT15B;2
Marku5;Juncken;+49(0)9026 358920;IT15B;Bernt-Nette-Platz 679;Bamberg;BA;63398;IT15B;1
Hermine;Renner;(09980) 51219;IT15A;Birgitt-Seifert-Gasse 4612;Goslar;GO;03121;IT15A;3
Blanka;Gieß;+49(0)9809142429;IT15B;Annamaria-Pechel-Weg 71/42;Soltau;SO;05552;IT15B;2
Cetin;Gutknecht;+49(0)9505 387844;BuHa12A;Drubinallee 9/8;Norden;NO;58717;BuHa12A;1
Aynur;Bärer;(09628) 938472;BuHa12A;Alois-Pohl-Allee 6;Hansestadttralsund;HA;06601;BuHa12A;2
Hanna;Mitschke;0776880492;BuHa12B;Alf-Drubin-Ring 51-36;Hofgeismar;HO;79686;BuHa12B;2
Anne-Kathrin;Girschner;+49(0) 472525925;IT15B;Ilka-Briemer-Allee 2-9;Erfurt;ER;1234;IT15B;2
Meral;Römer;0500351209;BuHa13B;Steinberggasse 90-61;Ingolstadt;IN;63624;BuHa13B;2
Elmar;Zobel;02915399848;IT14A;Steinbergstr. 879;Finsterwalde;FI;93396;IT14A;3
Sieghard;Franke;(09846) 381912;BuHa12A;Gehringergasse 7/2;Coburg;CO;03652;BuHa12A;1
Hermann-Josef;Klemm;05124 564712;BuHa13B;Mirella-Scheel-Gasse 9/8;Prenzlau;PR;01430;BuHa13B;2
Ruben;Kraus;02460575771;BuHa13A;Gehringerallee 2-5;Neubrandenburg;NE;54045;BuHa13A;2
Marco;Dippel;0936347534;IT15A;Annegrete-Radisch-Straße 15/82;Feuchtwangen;FE;44142;IT15A;1
Johannes;Roskoth;+49(0)4883 79771;IT15B;Ingbert-Gotthard-Straße 6;Strasburg;ST;77345;IT15B;2
Helene;Söding;+49 (0) 4411 244721;IT14A;Dörte-Otto-Platz 1/8;Stuttgart;ST;72653;IT14A;1
Kirstin;Barkholz;+49 (0) 1791 994237;BuHa13B;Bozena-Seip-Ring 47;Wanzleben;WA;85217;BuHa13B;1
Karlheinz;Röhricht;+49(0)4496 74359;BuHa13B;Margaretha-Wagenknecht-Weg 41;Sulzbach-Rosenberg;SU;41278;BuHa13B;3
Waltraud;Schmidt;+49(0) 925576059;BuHa12B;Budiggasse 9/8;H@mburg!;MA;89903;BuHa12B;3
Ditmar;Knappe;0288070082;BuHa13B;Zoltan-Rosenow-Allee 33;Günzburg;GÜ;12269;BuHa13B;1
Thorsten;Blümel;+49(0)1303333394;BuHa13B;Betty-Stroh-Allee 5/6;Aschaffenburg;AS;92731;BuHa13B;1
Hedi;Dippel;09300205138;BuHa12A;Yasmin-Butte-Ring 5-5;Borken;BO;50641;BuHa12A;1
Rotraut;Junken;+49(0)6095 460802;IT15B;Heino-Schomber-Platz 16;Melsungen;ME;32615;IT15B;1
Heinfried;Koch II;+49(0) 475750147;BuHa12A;Frankestraße 28;Tuttlingen;TU;37583;BuHa12A;1
Susan;Schlosser;09155 17093;BuHa13A;Striebitzallee 79-49;Bitterfeld;BI;03721;BuHa13A;3
Nurettin;Sorgatz;+49 (0) 5346 732397;BuHa13A;Heuserstraße 8;Altentreptow;AL;63458;BuHa13A;3
Wilfried;Roskoth;+49(0)1304 140583;IT15A;Scholtzplatz 2-2;Schrobenhausen;SC;95433;IT15A;2
Janine;Neureuther;(06915) 98048;IT14A;Schäferring 7451;Fürstenwalde;FÜ;90828;IT14A;1
